MethodCode,IndividuallySet,ProductCode,ByLocationId,ByLotNumber
MovingAverage,false,Suzuki,false,true
MovingAverage,true,Chevrolet,true,false
FirstInFirstOut,false,Ford,false,true
Lot,true,Buick,true,false
MovingAverage,true,Volkswagen,false,true
FirstInFirstOut,true,Dodge,false,true
WeightedAverage,true,Bentley,false,false
Lot,true,Hyundai,false,true
Lot,true,Pontiac,false,true
Lot,true,Kia,false,false
MovingAverage,false,Acura,true,false
FirstInFirstOut,true,Ford,false,true
WeightedAverage,false,Toyota,true,false
WeightedAverage,true,Subaru,false,true
WeightedAverage,false,Pontiac,true,true
Lot,true,Ford,false,false
FirstInFirstOut,false,Chrysler,true,true
Lot,true,BMW,false,false
MovingAverage,false,Cadillac,false,true
MovingAverage,false,Lincoln,false,true
WeightedAverage,false,Infiniti,false,true
FirstInFirstOut,true,Toyota,false,true
WeightedAverage,true,Volkswagen,false,true
FirstInFirstOut,false,Buick,false,true
FirstInFirstOut,true,Saturn,true,false
MovingAverage,false,Mercedes-Benz,false,true
MovingAverage,true,Hyundai,true,true
Lot,true,Volkswagen,false,true
MovingAverage,true,Chevrolet,false,true
Lot,false,Dodge,true,false
WeightedAverage,false,Acura,false,false
FirstInFirstOut,false,Saab,true,false
FirstInFirstOut,true,GMC,false,true
WeightedAverage,false,Mercury,false,true
MovingAverage,false,Ford,false,true
MovingAverage,true,Aston Martin,false,false
FirstInFirstOut,true,BMW,false,false
Lot,true,Isuzu,false,true
WeightedAverage,false,BMW,false,false
MovingAverage,true,Pontiac,false,false
WeightedAverage,false,Chevrolet,true,true
Lot,false,Honda,false,false
WeightedAverage,false,Isuzu,false,false
MovingAverage,false,Maserati,false,true
WeightedAverage,false,GMC,true,true
MovingAverage,true,Pontiac,false,false
Lot,false,Dodge,false,true
FirstInFirstOut,false,Acura,true,false
WeightedAverage,false,Pontiac,false,true
Lot,false,Mercedes-Benz,false,false
FirstInFirstOut,false,Dodge,false,true
MovingAverage,false,Dodge,false,true
FirstInFirstOut,true,Ford,true,true
FirstInFirstOut,true,Ford,true,true
FirstInFirstOut,false,Dodge,true,true
Lot,true,Lamborghini,true,false
WeightedAverage,true,Buick,true,true
Lot,true,Nissan,true,true
FirstInFirstOut,true,Dodge,false,false
WeightedAverage,true,Mazda,false,false
FirstInFirstOut,true,Mercedes-Benz,false,false
MovingAverage,true,BMW,false,true
MovingAverage,false,Ford,false,false
MovingAverage,false,Toyota,true,true
FirstInFirstOut,false,Toyota,true,true
Lot,true,Kia,true,false
FirstInFirstOut,false,Cadillac,false,true
Lot,false,Toyota,false,true
MovingAverage,false,Lexus,true,true
Lot,false,Ford,true,false
FirstInFirstOut,false,Ford,false,true
MovingAverage,true,Honda,true,false
FirstInFirstOut,false,Volvo,false,true
WeightedAverage,true,Chevrolet,true,true
FirstInFirstOut,false,Infiniti,false,false
FirstInFirstOut,false,Volkswagen,false,true
MovingAverage,true,Volkswagen,true,true
FirstInFirstOut,false,Mazda,false,true
Lot,false,Suzuki,false,false
FirstInFirstOut,true,Pontiac,false,true
WeightedAverage,false,Nissan,false,true
Lot,false,Land Rover,true,false
FirstInFirstOut,true,Lamborghini,true,false
Lot,true,Mitsubishi,true,true
FirstInFirstOut,false,Infiniti,true,true
FirstInFirstOut,false,Nissan,false,true
Lot,true,Suzuki,false,true
FirstInFirstOut,true,Oldsmobile,true,false
WeightedAverage,true,Nissan,true,false
WeightedAverage,false,Pontiac,true,true
MovingAverage,true,Dodge,true,false
WeightedAverage,false,Rolls-Royce,false,true
MovingAverage,true,Chevrolet,true,false
Lot,true,Toyota,false,false
MovingAverage,true,Dodge,true,false
WeightedAverage,false,Dodge,true,false
Lot,false,Acura,false,true
Lot,true,Oldsmobile,true,false
FirstInFirstOut,true,Hyundai,false,false
Lot,false,Chevrolet,false,false
Lot,true,Toyota,true,true
FirstInFirstOut,false,Buick,true,true
FirstInFirstOut,true,Kia,true,true
MovingAverage,true,Ferrari,false,true
FirstInFirstOut,true,Pontiac,true,true
MovingAverage,true,Mazda,false,false
MovingAverage,false,GMC,true,false
Lot,true,Subaru,true,false
FirstInFirstOut,true,Nissan,false,false
WeightedAverage,false,Geo,true,false
FirstInFirstOut,true,Hyundai,true,true
Lot,true,GMC,false,false
Lot,false,Toyota,false,true
WeightedAverage,true,Maybach,true,true
Lot,true,Isuzu,true,true
FirstInFirstOut,true,Porsche,false,false
Lot,false,Infiniti,false,true
Lot,false,Toyota,true,false
WeightedAverage,false,Audi,true,true
WeightedAverage,true,Suzuki,false,false
FirstInFirstOut,false,GMC,false,true
WeightedAverage,false,Chevrolet,true,true
MovingAverage,true,Ford,true,true
FirstInFirstOut,true,Buick,false,true
Lot,true,Lexus,false,true
WeightedAverage,true,GMC,true,false
FirstInFirstOut,true,Suzuki,true,false
MovingAverage,true,Porsche,true,true
MovingAverage,true,Mitsubishi,false,true
Lot,false,Chevrolet,true,false
WeightedAverage,true,Ford,false,false
MovingAverage,true,BMW,true,false
Lot,true,Nissan,true,true
Lot,false,Audi,true,true
FirstInFirstOut,false,Volkswagen,false,true
MovingAverage,false,Mazda,true,false
MovingAverage,true,Pontiac,false,true
Lot,true,Volkswagen,true,false
Lot,false,Toyota,false,false
WeightedAverage,false,Mercedes-Benz,false,true
FirstInFirstOut,true,Pontiac,true,true
MovingAverage,false,Honda,false,false
MovingAverage,false,Maserati,false,false
FirstInFirstOut,false,Mitsubishi,false,false
WeightedAverage,true,Hyundai,false,false
MovingAverage,true,Lexus,true,false
WeightedAverage,true,Buick,false,true
Lot,false,Chevrolet,true,false
FirstInFirstOut,false,Acura,true,false
WeightedAverage,true,Toyota,true,true
MovingAverage,true,Chevrolet,false,false
Lot,true,Maserati,false,false
Lot,false,Volkswagen,true,true
MovingAverage,true,Porsche,false,false
Lot,false,Maserati,false,false
WeightedAverage,false,MINI,false,false
MovingAverage,true,Volkswagen,true,true
MovingAverage,false,Chevrolet,true,false
MovingAverage,false,Mitsubishi,true,false
Lot,false,Mitsubishi,true,false
FirstInFirstOut,true,Merkur,true,false
WeightedAverage,false,Ford,true,true
FirstInFirstOut,false,Ford,true,false
Lot,true,Chevrolet,false,false
MovingAverage,false,Infiniti,false,true
WeightedAverage,false,Mitsubishi,true,false
Lot,true,Buick,true,true
Lot,false,Lincoln,true,false
MovingAverage,true,Rolls-Royce,false,false
MovingAverage,false,Pontiac,true,false
MovingAverage,true,Ford,true,false
Lot,false,Chevrolet,false,false
MovingAverage,false,Tesla,false,false
FirstInFirstOut,false,Acura,true,false
FirstInFirstOut,false,Buick,true,false
FirstInFirstOut,false,Volkswagen,true,true
WeightedAverage,false,Toyota,false,true
WeightedAverage,false,Subaru,false,false
WeightedAverage,true,Ford,false,true
Lot,true,Ford,false,true
WeightedAverage,true,Chevrolet,false,false
WeightedAverage,true,Dodge,false,false
Lot,false,Cadillac,false,true
Lot,true,Mazda,false,false
MovingAverage,true,Ford,true,true
MovingAverage,true,Honda,true,false
FirstInFirstOut,false,Dodge,false,true
MovingAverage,true,Toyota,true,true
FirstInFirstOut,false,Mazda,false,true
Lot,true,Chevrolet,false,true
Lot,false,Volkswagen,true,true
WeightedAverage,false,Honda,false,false
MovingAverage,true,Chevrolet,true,true
WeightedAverage,true,Volvo,true,false
Lot,true,Lamborghini,false,false
WeightedAverage,true,Audi,false,true
MovingAverage,true,Pontiac,false,false
WeightedAverage,false,BMW,false,true
Lot,false,Volkswagen,false,true
MovingAverage,true,Dodge,false,false
MovingAverage,true,Acura,false,true
FirstInFirstOut,false,Toyota,true,false
WeightedAverage,true,Ford,true,false
FirstInFirstOut,true,Acura,true,false
WeightedAverage,false,Porsche,false,true
Lot,true,Mazda,true,false
MovingAverage,true,Mercedes-Benz,true,false
Lot,false,Chevrolet,false,true
WeightedAverage,false,GMC,true,false
MovingAverage,true,Plymouth,true,true
MovingAverage,true,Mercury,true,true
FirstInFirstOut,false,Lexus,false,false
Lot,false,Dodge,true,true
Lot,true,Dodge,true,false
WeightedAverage,false,Mitsubishi,true,true
MovingAverage,true,Chevrolet,false,true
WeightedAverage,true,Mercury,true,true
WeightedAverage,false,Honda,false,true
FirstInFirstOut,false,Mercury,true,false
FirstInFirstOut,false,Bentley,true,true
MovingAverage,false,Ford,true,true
Lot,true,GMC,true,false
MovingAverage,false,Chevrolet,false,false
Lot,true,GMC,false,true
FirstInFirstOut,false,BMW,false,false
FirstInFirstOut,true,BMW,true,false
MovingAverage,true,Geo,true,false
MovingAverage,false,Ford,true,true
Lot,true,Honda,false,true
MovingAverage,true,MINI,true,false
WeightedAverage,false,BMW,false,false
FirstInFirstOut,true,Kia,false,false
WeightedAverage,true,Saturn,false,false
FirstInFirstOut,false,Mitsubishi,false,false
WeightedAverage,false,GMC,false,false
Lot,true,Bentley,true,false
MovingAverage,false,Chrysler,true,false
Lot,false,Hummer,false,false
Lot,true,Mitsubishi,false,true
MovingAverage,true,Lexus,true,true
Lot,true,Nissan,false,false
FirstInFirstOut,false,Kia,false,true
Lot,false,Volvo,false,true
Lot,false,Dodge,false,false
WeightedAverage,false,Ford,false,false
WeightedAverage,true,Hyundai,true,false
Lot,true,Subaru,false,false
WeightedAverage,true,Mercedes-Benz,true,true
MovingAverage,false,Chevrolet,true,true
Lot,false,Mazda,true,false
WeightedAverage,false,Dodge,false,true
Lot,false,Land Rover,false,true
FirstInFirstOut,true,Nissan,true,true
MovingAverage,true,Geo,true,false
MovingAverage,false,Chevrolet,false,true
MovingAverage,true,Ford,false,false
Lot,false,Ford,false,true
WeightedAverage,true,Dodge,false,true
WeightedAverage,true,GMC,false,true
MovingAverage,false,GMC,true,false
FirstInFirstOut,true,Subaru,false,true
MovingAverage,true,Ford,true,true
FirstInFirstOut,true,Chrysler,true,true
WeightedAverage,false,Ferrari,false,true
FirstInFirstOut,true,Chevrolet,false,true
Lot,false,Hyundai,true,true
FirstInFirstOut,false,Mitsubishi,true,true
FirstInFirstOut,false,Chevrolet,false,true
MovingAverage,true,Volvo,false,false
FirstInFirstOut,true,Volkswagen,false,false
MovingAverage,false,Porsche,true,true
MovingAverage,true,Nissan,true,false
WeightedAverage,false,Audi,true,false
FirstInFirstOut,true,Buick,false,false
WeightedAverage,false,Plymouth,false,true
MovingAverage,true,Cadillac,false,false
MovingAverage,false,Mercedes-Benz,true,true
MovingAverage,false,Nissan,false,true
Lot,true,Hyundai,false,true
Lot,false,Ford,false,false
Lot,false,BMW,true,true
WeightedAverage,true,Mazda,true,true
WeightedAverage,false,Toyota,false,false
MovingAverage,false,Subaru,true,true
Lot,false,Ford,true,false
MovingAverage,true,Plymouth,true,true
MovingAverage,true,Honda,true,false
MovingAverage,true,Lexus,true,true
WeightedAverage,true,Honda,true,false
WeightedAverage,false,Toyota,false,false
Lot,true,Oldsmobile,true,false
Lot,false,Hyundai,false,true
Lot,true,Dodge,true,true
Lot,false,Chevrolet,true,true
MovingAverage,false,Audi,true,false
MovingAverage,true,GMC,false,true
Lot,true,Ford,false,false
WeightedAverage,true,Nissan,false,false
FirstInFirstOut,false,Audi,true,false
Lot,false,Subaru,true,true
WeightedAverage,true,Chevrolet,false,false
FirstInFirstOut,false,Dodge,true,true
WeightedAverage,false,Subaru,false,false
Lot,true,Chevrolet,false,false
Lot,false,GMC,false,false
MovingAverage,true,Toyota,false,false
WeightedAverage,true,GMC,true,false
MovingAverage,true,BMW,true,false
WeightedAverage,true,Subaru,true,true
FirstInFirstOut,true,Audi,true,true
MovingAverage,true,Jeep,false,false
Lot,true,Audi,false,false
MovingAverage,true,Toyota,true,false
FirstInFirstOut,true,Acura,true,false
WeightedAverage,false,Jeep,true,false
WeightedAverage,false,Hyundai,false,true
Lot,false,Chrysler,false,false
FirstInFirstOut,false,Hyundai,false,false
FirstInFirstOut,false,Dodge,false,false
MovingAverage,true,Oldsmobile,true,false
Lot,false,Audi,true,false
FirstInFirstOut,false,Cadillac,true,false
FirstInFirstOut,true,Cadillac,true,false
MovingAverage,false,Ford,false,true
Lot,false,Chevrolet,false,true
MovingAverage,true,Mitsubishi,false,true
MovingAverage,false,Mazda,true,true
FirstInFirstOut,true,Mazda,false,false
MovingAverage,true,Bentley,true,true
Lot,true,Mitsubishi,false,true
Lot,true,Ford,false,false
Lot,false,Chrysler,false,true
Lot,true,Toyota,false,true
WeightedAverage,false,Hyundai,true,true
FirstInFirstOut,true,Mitsubishi,false,true
Lot,false,Lincoln,false,false
Lot,true,Audi,true,false
Lot,true,Oldsmobile,false,false
WeightedAverage,false,Aston Martin,true,false
MovingAverage,true,Chevrolet,true,true
Lot,true,Ford,false,true
FirstInFirstOut,true,Cadillac,false,true
Lot,true,Chrysler,true,false
FirstInFirstOut,true,Dodge,false,true
WeightedAverage,false,Land Rover,true,true
Lot,false,Aston Martin,true,false
FirstInFirstOut,false,Mercury,false,true
Lot,false,Mitsubishi,true,true
WeightedAverage,false,Mercedes-Benz,false,true
WeightedAverage,false,Ford,false,true
FirstInFirstOut,true,Jeep,true,true
FirstInFirstOut,true,Land Rover,false,true
FirstInFirstOut,true,Ford,false,false
FirstInFirstOut,true,Lincoln,true,true
FirstInFirstOut,true,Kia,false,true
WeightedAverage,true,Volvo,false,false
Lot,false,Audi,true,false
WeightedAverage,true,Ram,false,true
WeightedAverage,true,Lincoln,false,true
Lot,true,BMW,true,false
Lot,true,Mercedes-Benz,true,true
WeightedAverage,false,Lexus,true,false
MovingAverage,true,Honda,true,true
FirstInFirstOut,true,Isuzu,false,true
FirstInFirstOut,false,Suzuki,false,true
FirstInFirstOut,true,Volvo,false,false
Lot,true,Mercedes-Benz,true,true
FirstInFirstOut,false,Lexus,false,true
MovingAverage,true,Land Rover,false,false
WeightedAverage,false,Dodge,true,false
Lot,true,Mercury,false,false
MovingAverage,false,Lexus,false,false
WeightedAverage,false,Chrysler,false,true
MovingAverage,false,Chevrolet,false,true
MovingAverage,true,Ford,false,false
WeightedAverage,false,Ford,false,false
Lot,true,Lamborghini,true,true
WeightedAverage,true,Honda,true,true
MovingAverage,true,Mitsubishi,false,false
Lot,false,Acura,false,false
Lot,false,Subaru,false,true
MovingAverage,true,Saturn,false,false
MovingAverage,true,Ford,true,false
MovingAverage,false,Ford,true,true
Lot,false,Isuzu,false,false
FirstInFirstOut,true,Ferrari,true,false
FirstInFirstOut,false,Toyota,true,false
MovingAverage,true,Kia,true,true
Lot,false,Ford,false,true
FirstInFirstOut,true,Ford,false,true
WeightedAverage,false,Honda,false,false
MovingAverage,true,Saab,true,false
Lot,false,Toyota,true,true
WeightedAverage,false,Ford,false,false
WeightedAverage,true,Acura,false,true
WeightedAverage,false,GMC,false,false
MovingAverage,false,Land Rover,false,true
WeightedAverage,false,Buick,true,true
MovingAverage,true,Acura,false,false
Lot,true,Cadillac,false,false
Lot,false,Chevrolet,true,false
Lot,false,BMW,true,false
WeightedAverage,true,Honda,false,true
WeightedAverage,false,Chevrolet,true,true
FirstInFirstOut,true,Lexus,true,false
MovingAverage,false,Chevrolet,false,true
WeightedAverage,false,Chevrolet,true,true
WeightedAverage,true,Mitsubishi,true,true
FirstInFirstOut,true,Ford,false,true
FirstInFirstOut,false,Ford,false,false
Lot,false,Pontiac,true,true
Lot,false,Mercury,false,false
MovingAverage,false,Jeep,false,false
WeightedAverage,true,Jeep,true,false
MovingAverage,false,Oldsmobile,true,true
WeightedAverage,true,Chevrolet,true,true
MovingAverage,false,Hyundai,false,false
FirstInFirstOut,true,Ford,true,true
MovingAverage,true,Volkswagen,true,true
WeightedAverage,false,Mercury,false,false
FirstInFirstOut,false,Lotus,false,true
MovingAverage,true,GMC,true,false
Lot,true,Ford,false,true
WeightedAverage,true,Mercedes-Benz,false,false
MovingAverage,false,Aston Martin,true,false
Lot,false,Nissan,false,false
Lot,true,Mercury,false,false
WeightedAverage,true,Chevrolet,false,true
Lot,true,Mazda,false,true
FirstInFirstOut,true,Mercury,false,true
FirstInFirstOut,false,Kia,true,true
FirstInFirstOut,false,Audi,false,false
FirstInFirstOut,true,Mercury,false,true
WeightedAverage,false,Saab,true,true
MovingAverage,true,Ford,false,true
FirstInFirstOut,false,Kia,true,false
Lot,true,Lexus,true,true
FirstInFirstOut,true,Mazda,false,true
MovingAverage,false,Land Rover,true,true
MovingAverage,true,Chevrolet,false,true
Lot,false,Acura,true,true
MovingAverage,true,Bentley,true,true
FirstInFirstOut,false,Mazda,true,true
MovingAverage,false,Nissan,true,false
MovingAverage,false,Mitsubishi,false,true
Lot,false,Mercedes-Benz,false,false
WeightedAverage,true,Mazda,true,false
Lot,false,Kia,true,false
MovingAverage,false,Chrysler,true,true
Lot,true,Lincoln,false,true
MovingAverage,true,Ford,false,true
WeightedAverage,false,Ford,true,true
WeightedAverage,true,Buick,false,true
WeightedAverage,false,Nissan,true,true
WeightedAverage,false,Ford,false,true
MovingAverage,true,Chevrolet,true,false
WeightedAverage,true,Mitsubishi,true,true
WeightedAverage,false,Ford,false,false
Lot,false,Jaguar,false,false
Lot,true,Volvo,false,false
MovingAverage,true,Scion,false,false
Lot,true,Jaguar,true,true
WeightedAverage,false,GMC,false,false
WeightedAverage,false,Pontiac,false,true
Lot,true,Buick,true,false
Lot,false,Buick,false,false
Lot,true,Lexus,true,true
MovingAverage,false,Pontiac,false,true
WeightedAverage,true,Mitsubishi,true,false
FirstInFirstOut,false,Kia,false,false
FirstInFirstOut,true,Ford,true,true
MovingAverage,false,Ford,true,true
WeightedAverage,false,Bentley,true,false
Lot,true,Porsche,true,false
MovingAverage,true,Chrysler,true,true
FirstInFirstOut,false,Chevrolet,false,true
Lot,true,Ford,false,false
Lot,false,Honda,true,false
Lot,false,Acura,false,true
Lot,false,Mazda,false,false
WeightedAverage,false,Mazda,false,true
FirstInFirstOut,false,Volvo,false,false
WeightedAverage,false,Saturn,false,false
Lot,true,GMC,true,false
MovingAverage,false,Toyota,false,false
Lot,true,Isuzu,false,true
WeightedAverage,true,Ford,false,true
MovingAverage,false,Chevrolet,true,false
MovingAverage,true,Pontiac,true,true
MovingAverage,true,Mercedes-Benz,false,true
WeightedAverage,false,Hyundai,false,false
MovingAverage,true,Toyota,true,true
WeightedAverage,false,Chevrolet,true,true
Lot,false,Pontiac,false,true
FirstInFirstOut,true,Chevrolet,true,false
MovingAverage,true,Nissan,false,true
MovingAverage,true,Acura,false,false
Lot,false,Dodge,false,true
MovingAverage,false,Chrysler,false,true
FirstInFirstOut,true,Land Rover,false,false
WeightedAverage,false,Volkswagen,true,false
Lot,true,Ford,true,true
FirstInFirstOut,true,Pontiac,true,false
FirstInFirstOut,false,Lotus,false,true
FirstInFirstOut,true,Cadillac,true,true
MovingAverage,false,GMC,false,true
WeightedAverage,false,Volkswagen,false,true
MovingAverage,true,Mercedes-Benz,true,true
WeightedAverage,false,Audi,false,false
MovingAverage,true,Toyota,true,false
WeightedAverage,true,Toyota,false,true
FirstInFirstOut,true,Lotus,false,false
FirstInFirstOut,true,Chevrolet,true,true
WeightedAverage,true,Dodge,true,false
MovingAverage,false,Volvo,true,true
MovingAverage,false,Nissan,false,false
WeightedAverage,false,Mitsubishi,false,false
Lot,true,Infiniti,false,true
WeightedAverage,true,Mercury,false,false
WeightedAverage,true,Toyota,true,true
FirstInFirstOut,false,GMC,true,false
FirstInFirstOut,true,Mitsubishi,true,false
Lot,false,Mercedes-Benz,true,false
Lot,false,Chevrolet,true,false
WeightedAverage,false,Ford,true,false
MovingAverage,false,Mazda,true,true
WeightedAverage,true,Lincoln,false,false
MovingAverage,true,Mercury,false,true
Lot,true,GMC,false,true
Lot,true,Dodge,false,true
Lot,true,Mazda,false,false
WeightedAverage,true,Acura,true,false
WeightedAverage,false,Ford,true,true
MovingAverage,false,Nissan,false,false
MovingAverage,false,Jaguar,false,false
Lot,true,Volkswagen,true,true
MovingAverage,false,Maybach,true,false
MovingAverage,false,Chevrolet,false,true
WeightedAverage,true,Chevrolet,false,true
Lot,false,Spyker,true,false
Lot,true,Mercedes-Benz,false,false
Lot,false,Lexus,true,true
FirstInFirstOut,true,GMC,true,true
FirstInFirstOut,false,Ford,true,true
FirstInFirstOut,true,MINI,true,true
MovingAverage,true,Lamborghini,true,false
FirstInFirstOut,true,Jaguar,false,true
Lot,false,GMC,true,true
WeightedAverage,true,Volkswagen,false,true
MovingAverage,false,Chevrolet,true,true
Lot,false,Toyota,false,true
FirstInFirstOut,false,Toyota,true,true
MovingAverage,true,Subaru,true,false
WeightedAverage,true,Ford,true,true
FirstInFirstOut,false,Mazda,false,false
MovingAverage,true,Nissan,false,true
WeightedAverage,true,Pontiac,false,true
WeightedAverage,true,Toyota,false,false
FirstInFirstOut,true,Chevrolet,false,false
Lot,false,Toyota,false,true
Lot,false,Mazda,true,true
Lot,true,Lotus,true,false
Lot,false,Toyota,false,false
WeightedAverage,false,Ford,true,true
Lot,true,Lincoln,false,true
MovingAverage,false,Mazda,false,true
WeightedAverage,false,BMW,false,false
Lot,false,Pontiac,false,true
MovingAverage,true,Chevrolet,false,false
FirstInFirstOut,false,Lincoln,false,true
FirstInFirstOut,false,Spyker,false,false
FirstInFirstOut,true,Volkswagen,false,false
WeightedAverage,true,Mercedes-Benz,true,true
Lot,false,Dodge,false,false
FirstInFirstOut,true,Buick,false,true
FirstInFirstOut,true,Lexus,true,false
MovingAverage,true,Ford,false,true
MovingAverage,false,Buick,true,true
WeightedAverage,false,Ford,true,false
